coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Steel Dragon 2000,status.operating,153.0,97.0,2479.0,0.0,Steel,Morgan,Sit Down,Nagashima Spa Land,Kuwana,Mie,Japan,511-1135
Steel Eel,status.operating,105.0,46.0,1128.0,0.0,Steel,Morgan,Sit Down,SeaWorld San Antonio,San Antonio,Texas,United States,78251
Steel Force,status.operating,120.0,61.0,1706.0,0.0,Steel,Morgan,Sit Down,Dorney Park,Allentown,Pennsylvania,United States,18104
Steel Vengeance,status.operating,119.0,62.0,1750.0,4.0,Hybrid,RMC,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Storm Chaser,status.announced,60.0,19.0,430.0,0.0,Steel,Mack,Spinning,Paultons Park,,,,
Storm Chaser,status.operating,84.0,31.0,836.0,3.0,Steel,RMC,Sit Down,Kentucky Kingdom,Louisville,Kentucky,United States,40209
Storm Runner,status.operating,120.0,56.0,806.0,3.0,Steel,Intamin,Sit Down,Hersheypark,Hershey,Pennsylvania,United States,17033
Superman: the Ride,status.operating,124.0,63.0,1646.0,0.0,Steel,Intamin,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Superman: The Ride,status.operating,124.0,63.0,1646.0,0.0,Steel,Intamin,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Superman Krypton Coaster,status.operating,113.0,51.0,1227.0,6.0,Steel,B&M,Floorless,Six Flags Fiesta Texas,San Antonio,Texas,United States,78257
Superman The Ride,status.operating,124.0,63.0,1646.0,0.0,Steel,Intamin,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Superman Ride of Steel,status.operating,117.0,60.0,1630.0,0.0,Steel,Intamin,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Switchback,status.operating,66.0,20.0,365.0,,Wooden,Gravity Group,Sit Down,ZDT's,Seguin,Texas,United States,78155
Switchback,status.operating,,10.0,233.0,,na,I.E. Park,Sit Down,Gulliver's Matlock Bath,,,,
T Express,status.operating,104.0,56.0,1641.0,0.0,Wooden,Intamin,Sit Down,Everland,Seoul,Seoul,South Korea,17023
Taron,status.operating,117.0,30.0,1320.0,0.0,Steel,Intamin,Sit Down,Phantasialand,Brühl,North Rhine-Westphalia,Germany,50321
Tatsu,status.operating,100.0,52.0,1097.0,4.0,Steel,B&M,Flying,Six Flags Magic Mountain,Valencia,California,United States,91355
Texas Stingray,status.operating,55.0,30.48,1029.9,0.0,Wooden,GCI,Sit Down,SeaWorld San Antonio,San Antonio,Texas,United States,78251
The Beast,status.operating,104.0,34.0,2243.0,0.0,Wooden,Charlie Dinn,Sit Down,Kings Island,Mason,Ohio,United States,45040
The Big One,status.operating,120.0,65.0,1675.0,0.0,Steel,Arrow,Sit Down,Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
The Boss,status.operating,106.0,46.0,1540.0,0.0,Wooden,CCI,Sit Down,Six Flags St. Louis,Eureka,Missouri,United States,63025
The Legend,status.operating,93.0,35.0,1232.0,0.0,Wooden,CCI,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
The Raven,status.operating,77.0,33.0,832.0,0.0,Wooden,CCI,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
The Swarm,status.operating,,39.0,775.0,4.0,Steel,B&M,Wing,Thorpe Park,Chertsey,England,United Kingdom,KT16 8PN
The Voyage,status.operating,108.0,49.0,1963.0,0.0,Wooden,Gravity Group,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
